Loyer au m2,KEY,Prix,Département,ville,Code Postal,Adresse,Type,Nombre de pièces,Surface,Latitude,Longitude,Prix au m2,Mensualité,Coût total des intérêts,Frais de notaire,Loyer mensuel,Taux de rendement
31,75-101,340000,75,PARIS 01,75001,21 RUE MONTORGUEIL,Appartement,2,29,48.8640437811788,2.34629973115303,11724,1795,198393.58,27200.0,909,1.93
31,75-101,618000,75,PARIS 01,75001,20 RUE DES BONS ENFANTS,Appartement,3,50,48.8634502510428,2.33883112591044,12360,3262,360609.5,49440.0,1567,1.83
31,75-101,735000,75,PARIS 01,75001,34 RUE CROIX DES PETITS CHAMPS,Appartement,2,45,48.8642082455798,2.34031721606119,16333,3880,428880.23,58800.0,1410,1.38
31,75-101,580000,75,PARIS 01,75001,4 RUE BAILLEUL,Appartement,2,41,48.8609896487242,2.34215944457332,14146,3061,338436.1,46400.0,1285,1.6
31,75-101,359140,75,PARIS 01,75001,29 RUE DE RICHELIEU,Appartement,3,39,48.86503586016,2.33634720567772,9209,1896,209561.97,28731.2,1222,2.46
31,75-101,757746,75,PARIS 01,75001,1 RUE COQ HERON,Appartement,2,44,48.8642099199361,2.34185157438686,17221,4000,442152.53,60619.648,1379,1.31
31,75-101,550000,75,PARIS 01,75001,180 RUE DE RIVOLI,Appartement,2,50,48.8632185929651,2.33441955272752,11000,2903,320930.79,44000.0,1567,2.06
31,75-101,418270,75,PARIS 01,75001,117 RUE SAINT-HONORE,Appartement,2,35,48.8614399551707,2.34180070954616,11951,2208,244064.95,33461.6,1097,1.89
31,75-101,530000,75,PARIS 01,75001,136 RUE SAINT-HONORE,Appartement,2,37,48.8619936469789,2.34079860406311,14324,2798,309260.58,42400.0,1160,1.58
31,75-101,683000,75,PARIS 01,75001,16 PL DAUPHINE,Appartement,2,36,48.8568297451206,2.34254561445223,18972,3605,398537.69,54640.0,1128,1.19
31,75-101,225000,75,PARIS 01,75001,186 RUE DE RIVOLI,Appartement,2,28,48.8635647925356,2.33335618456741,8036,1188,131289.87,18000.0,878,2.81
31,75-101,549550,75,PARIS 01,75001,217 RUE SAINT-HONORE,Appartement,2,28,48.8653185001806,2.33041429007133,19627,2901,320668.21,43964.0,878,1.15
31,75-101,911500,75,PARIS 01,75001,17 RUE DU CYGNE,Appartement,2,65,48.8633183297996,2.34834710403657,14023,4811,531869.84,72920.0,2037,1.61
31,75-101,640000,75,PARIS 01,75001,15 RUE DU LOUVRE,Appartement,3,52,48.8635592887927,2.34148014098889,12308,3378,373446.73,51200.0,1630,1.84
31,75-101,825000,75,PARIS 01,75001,19 RUE MONTORGUEIL,Appartement,4,70,48.8639534369227,2.3462958391282,11786,4355,481396.18,66000.0,2194,1.92
31,75-101,448550,75,PARIS 01,75001,36 PL DU MARCHE ST HONORE,Appartement,2,39,48.8671045969301,2.33257457780285,11501,2368,261733.64,35884.0,1222,1.97
31,75-101,885000,75,PARIS 01,75001,8 RUE DE LA PETITE TRUANDERIE,Appartement,2,64,48.8627784568602,2.34837256023262,13828,4671,516406.81,70800.0,2006,1.64
31,75-101,270000,75,PARIS 01,75001,37 RUE SAINTE-ANNE,Appartement,2,42,48.8664415023816,2.33542607266803,6429,1425,157547.84,21600.0,1316,3.52
31,75-101,650000,75,PARIS 01,75001,3 RUE MONTMARTRE,Appartement,2,58,48.86376977011,2.34535978842104,11207,3431,379281.84,52000.0,1818,2.02
31,75-101,979480,75,PARIS 01,75001,9 RUE DE LA COSSONNERIE,Appartement,3,80,48.8613560543652,2.34844459812285,12244,5170,571536.89,78358.40000000001,2508,1.85
31,75-101,781800,75,PARIS 01,75001,6 RUE BAILLEUL,Appartement,2,56,48.8611215226273,2.34200554806647,13961,4127,456188.53,62544.0,1755,1.62
31,75-101,849100,75,PARIS 01,75001,14 RUE BERTIN POIREE,Appartement,3,71,48.8588124132406,2.34503173829499,11959,4482,495458.78,67928.0,2225,1.89
31,75-101,540000,75,PARIS 01,75001,79 RUE SAINT-DENIS,Appartement,2,52,48.8618544369821,2.34880186557951,10385,2850,315095.68,43200.0,1630,2.18
31,75-101,550000,75,PARIS 01,75001,276 RUE SAINT-HONORE,Appartement,3,38,48.8645626190471,2.33333913963448,14474,2903,320930.79,44000.0,1191,1.56
31,75-101,395000,75,PARIS 01,75001,51 RUE DE L ARBRE SEC,Appartement,2,30,48.8613297562774,2.34235624327217,13167,2085,230486.66,31600.0,940,1.72
31,75-101,317537,75,PARIS 01,75001,8 RUE DU CYGNE,Appartement,3,40,48.8632688017814,2.34935407668034,7938,1676,185286.18,25402.96,1254,2.85
31,75-101,732000,75,PARIS 01,75001,260 RUE SAINT-HONORE,Appartement,2,50,48.8642813986401,2.33369755776045,14640,3864,427129.7,58560.0,1567,1.54
31,75-101,680000,75,PARIS 01,75001,1 RUE DES INNOCENTS,Appartement,2,51,48.8603069283645,2.34807896051221,13333,3589,396787.15,54400.0,1599,1.7
31,75-101,698750,75,PARIS 01,75001,81 RUE SAINT-DENIS,Appartement,3,56,48.8618731007782,2.34895727154417,12478,3688,407727.98,55900.0,1755,1.81
31,75-101,600000,75,PARIS 01,75001,13 RUE SAINT-DENIS,Appartement,2,52,48.8593306745455,2.34756393346139,11538,3167,350106.31,48000.0,1630,1.96
31,75-101,352500,75,PARIS 01,75001,1 RUE DES PYRAMIDES,Appartement,2,39,48.8642759623211,2.33213361674209,9038,1861,205687.46,28200.0,1222,2.5
31,75-101,685000,75,PARIS 01,75001,2 RUE JEAN JACQUES ROUSSEAU,Appartement,2,47,48.8621110166646,2.33989741724218,14574,3616,399704.71,54800.0,1473,1.55
